id,title,url,isPaid,price,numSubscribers,numReviews,numPublishedLectures,instructionalLevel,contentInfo,publishedTime,,,Is Paid,Total,Column1
656914,Cartoon Game Logo Design using Photoshop,https://www.udemy.com/cartoon-game-logo-design-using-photoshop/,TRUE,20,1076,11,15,All Levels,2.5 hours,2015-11-11T18:54:16Z,,,,,
787204,Most Wanted Flat Design Techniques #2: Hipster Businessman,https://www.udemy.com/flat-design-flat-ui-design-flat-colors-flat-design-hipster-businessman/,TRUE,95,1016,5,25,Intermediate Level,1.5 hours,2016-03-17T16:47:34Z,,,,,
380668,All-in-One Premium Design Course - Scratch to Pro+ Edition,https://www.udemy.com/worldclass-graphic-design/,TRUE,200,919,57,56,All Levels,5.5 hours,2015-02-20T00:15:41Z,,,,,
412864,Typography 101: Picking the Right Fonts for Business Success,https://www.udemy.com/typography-fonts-business/,TRUE,75,1224,10,15,Beginner Level,1.5 hours,2015-04-20T18:03:34Z,,,,,
463354,Editorial Illustration Tutorial: From Drawing to Photoshop,https://www.udemy.com/editorial-illustration-illuminating-the-written-word/,TRUE,45,774,39,35,All Levels,2.5 hours,2015-04-08T16:57:23Z,,,,,
636548,Kindle eBook Cover Design and Book Illustration Guide,https://www.udemy.com/kindle-ebook-cover-design/,TRUE,120,715,16,20,All Levels,1 hour,2015-11-06T17:27:45Z,,,,,
513782,Removing Backgrounds From Images using Adobe Photoshop,https://www.udemy.com/removing-backgrounds-from-images-using-adobe-photoshop/,TRUE,20,1768,20,14,All Levels,41 mins,2015-06-03T18:11:41Z,,,,,
19164,Graphic Design Secrets Revealed,https://www.udemy.com/design-like-a-pro-graphic-design-fundamentals/,TRUE,95,2555,28,55,All Levels,6 hours,2012-09-04T02:21:04Z,,,,,
637402,Drawing in Perspective,https://www.udemy.com/drawing-in-perspective/,TRUE,25,426,63,28,All Levels,3 hours,2016-05-27T19:39:14Z,,,,,
901082,"Digital Art in Adobe Illustrator CC: Angry Bird, Tom & Jerry",https://www.udemy.com/adobe-illustrator-cc-course/,FALSE,Free,3108,27,28,Beginner Level,2.5 hours,2016-08-12T17:34:45Z,,,,,
608090,Adobe Illustrator For Beginners: Design A Typographic Logo,https://www.udemy.com/illustratorforbeginners/,TRUE,30,276,54,27,Beginner Level,1.5 hours,2015-10-15T22:29:00Z,,,,,
1165016,Surface Pattern Design : Create Scandinavian Patterns,https://www.udemy.com/surface-pattern-design-scandinavian-art-research-to-finished-design/,TRUE,40,390,6,8,All Levels,42 mins,2017-04-04T15:03:18Z,,,,,
755680,Draw a realistic Fantail using pencil,https://www.udemy.com/draw-a-realistic-fantail-using-pencil/,FALSE,Free,6754,109,20,All Levels,1 hour,2016-02-11T22:05:05Z,,,,,
930416,How to design a business card on Photoshop (for beginners),https://www.udemy.com/businesscarddesignphotoshop/,FALSE,Free,5086,197,12,Beginner Level,1 hour,2016-08-27T19:02:40Z,,,,,
784478,Make Flat Design Space Ships in 30 Minutes in Illustrator!,https://www.udemy.com/make-flat-design-space-ships-in-30-minutes-in-illustrator/,TRUE,50,1146,41,5,Beginner Level,33 mins,2016-04-06T20:26:56Z,,,,,
17349,Figure Drawing From Life Using The Reilly Technique.,https://www.udemy.com/figure-drawing-from-life-using-the-reilly-technique/,FALSE,Free,47811,1041,22,All Levels,2.5 hours,2012-05-09T18:14:57Z,,,,,
93484,Drawing Cartoony Characters,https://www.udemy.com/cartoonycharacters/,TRUE,20,1564,103,9,Beginner Level,2 hours,2013-10-09T00:45:01Z,,,,,
927186,Learn Blender 3D  - The introduction course,https://www.udemy.com/learn-blender-3d-in-under-2-hours-the-intro-course/,TRUE,100,739,12,15,Beginner Level,1.5 hours,2016-08-19T00:52:30Z,,,,,
628440,Inkscape For Beginners 2016/2017,https://www.udemy.com/udemy-master-inkscape-beginner-course-20162017-unofficial/,TRUE,40,1029,52,26,All Levels,4 hours,2016-09-26T17:24:45Z,,,,,
1047508,Make yourself a Santa Claus: Photoshop Manipulation,https://www.udemy.com/make-your-self-a-santa-claus-merry-christmas/,FALSE,Free,2665,20,8,All Levels,34 mins,2016-12-22T17:10:35Z,,,,,
406504,Become an InDesign Pro in 10 Skills,https://www.udemy.com/become-an-indesign-pro-in-10-skills/,TRUE,105,1079,172,35,Beginner Level,5 hours,2015-08-21T22:22:39Z,,,,,
644914,Digital Illustration: Make A Custom Character Illustration,https://www.udemy.com/digital-illustration/,TRUE,30,1440,16,14,All Levels,1.5 hours,2015-11-03T18:49:10Z,,,,,
908324,Learn Basics Of Adobe Illustrator,https://www.udemy.com/learn-basics-of-adobe-illustrator-under-30-minutes/,TRUE,25,1401,30,12,Beginner Level,42 mins,2016-09-12T19:15:36Z,,,,,
15611,Discover the 7 Secrets to Figure Drawing: Draw Awesome ...,https://www.udemy.com/how-to-draw-the-human-figure-10-hours/,TRUE,40,2634,92,25,All Levels,10 hours,2012-04-04T02:24:51Z,,,,,
